word,average by game,average round,learn
dermatoglyphics,140.94266,20.13467,x
respectabilizing,130.88097,18.69728,x
micropaleontologies,126.37764,18.05395,x
multiprocessing,126.2967,18.04239,x
micropaleontologist,126.18432,18.02633,
micropaleontologists,125.96459,17.99494,
dermatoglyphic,125.10932,17.87276,
acknowledgments,124.67208,17.8103,x
copolymerizations,122.22679,17.46097,x
depolymerizations,122.13906,17.44844,
salpingectomy,118.18303,16.88329,x
pulchritudinous,118.03936,16.86277,x
boustrophedonic,118.0221,16.8603,x
demonstrability,117.89775,16.84254,x
achondroplastic,117.89313,16.84188,x
pharmacologist,117.80342,16.82906,x
hemoglobinopathies,117.7882,16.82689,x
compressibility,117.73966,16.81995,x
disconcertingly,117.59375,16.79911,x
comfortableness,117.56867,16.79552,
correspondingly,117.55726,16.79389,x
comprehensively,116.55246,16.65035,
respectabilized,115.38439,16.48348,
splenectomized,115.37095,16.48156,x
undercapitalizes,115.29142,16.4702,x
sacerdotalizing,115.28784,16.46969,x
undercapitalizations,115.11353,16.44479,
decriminalizations,115.03518,16.4336,x
transcendentalizing,115.03253,16.43322,x
compartmentalizes,114.82244,16.40321,x
departmentalizing,114.79572,16.39939,
compartmentalizations,114.68515,16.38359,
compartmentalizing,114.53902,16.36272,
abridgments,111.05526,15.86504,x
plumbaginaceous,111.03487,15.86212,x
discolorment,111.02672,15.86096,x
discouragement,111.0064,15.85806,x
discolorments,110.99069,15.85581,
disgruntlement,110.64856,15.80694,x
imperscriptible,110.59103,15.79872,x
practicableness,110.41121,15.77303,x
